Normalized,Raw,Model,field
CURR:NO_MATCH:Tags added by POP - Ugly,Clean,Mitch's Category,Laura's Category,Model,Field,Basis 
nordenpeterb1649,"Norden, Peter, b. 1649",,,Unknown,Person Unknown,
normanhubertg,"Norman, Hubert, G.",,,Unknown,Person Unknown,
norrischarles17121766,"Norris, Charles, 1712-1766",,,Unknown,Person Unknown,
norrisisaac16711735,"Norris, Isaac, 1671-1735",,,Unknown,Person Unknown,
norrisjosephpjosephparker17611841,"Norris, Joseph P. (Joseph Parker), 1761-1841",,,Unknown,Person Unknown,
norrisjosephparker17631841,"Norris, Joseph Parker, 1763-1841",,,Unknown,Person Unknown,
norrismaryd1799,"Norris, Mary, d. 1799",,,Unknown,Person Unknown,
nostitzchristophwentzelgrafvon16481712,"Nostitz Christoph Wentzel graf von, 1648-1712",,,Unknown,Person Unknown,
notkerbalbulusca840912,"Notker, Balbulus, ca. 840-912",,,Unknown,Person Unknown,
nottgfgeorgefrederick17671841,"Nott, G. F. (George Frederick), 1767-1841",,,Unknown,Person Unknown,
numagenpeter,"Numagen, Peter",,,Unknown,Person Unknown,
oflahertietheobaldrichard18181894,"O'Flahertie, Theobald Richard, 1818-1894",,,Unknown,Person Unknown,
obelitzbaltzergebhardvon16401707,"Obelitz, Baltzer Gebhard von, 1640-1707",,,Unknown,Person Unknown,
odoardocardinal15731626,"Odoardo, Cardinal, 1573-1626",,,Unknown,Person Unknown,
oeglinerharddca1520,"Oeglin, Erhard, d. ca. 1520",,,Unknown,Person Unknown,
oesterreichmatteo17161778,"Oesterreich, Matteo, 1716-1778",,,Unknown,Person Unknown,
oldenhovecarolus,"Oldenhove, Carolus",,,Unknown,Person Unknown,
olingerjeanjules18831956,"Olinger, Jean Jules, 1883-1956",,,Unknown,Person Unknown,
olivaresgaspardeguzmáncondeduquede15871645,"Olivares, Gaspar de Guzmán, conde-duque de, 1587-1645",,,Unknown,Person Unknown,
olympiasqueenconsortofphilipiikingofmacedoniad316bc,"Olympias, Queen, consort of Philip II, King of Macedonia, d. 316 B.C.",,,Unknown,Person Unknown,
opitiussamuelapproximately1682,"Opitius, Samuel, approximately 1682-",,,Unknown,Person Unknown,
opitztheodor18201896,"Opitz, Theodor, 1820-1896",,,Unknown,Person Unknown,
oporinusjoannes15071568,"Oporinus, Joannes, 1507-1568",,,Unknown,Person Unknown,
optatussaintbishopofmileveactive4thcentury,"Optatus, Saint, Bishop of Mileve, active 4th century",,,Unknown,Person Unknown,
ordjohn1710c1745,"Ord, John, 1710(c.)-1745",,,Unknown,Person Unknown,
ordjohn17291814,"Ord, John, 1729?-1814",,,Unknown,Person Unknown,
ortuingaspard,"Ortuin, Gaspard",,,Unknown,Person Unknown,
osianderfriedrichbenjamin17591822,"Osiander, Friedrich Benjamin, 1759-1822",,,Unknown,Person Unknown,
osianderlucas15341604,"Osiander, Lucas, 1534-1604",,,Unknown,Person Unknown,
ostensackengrafvon,"Osten-Sacken, Graf von",,,Unknown,Person Unknown,
osterbergergeorgdca1602,"Osterberger, Georg, d. ca. 1602",,,Unknown,Person Unknown,
osóriojerónimo15061580,"Osório, Jerónimo, 1506-1580",,,Unknown,Person Unknown,
otisharrisongray18561915,"Otis, Harrison Gray, 1856-1915",,,Unknown,Person Unknown,
otmarjohannfl14821514,"Otmar, Johann, fl. 1482-1514",,,Unknown,Person Unknown,
otmarvalentinca15151566,"Otmar, Valentin, ca. 1515-1566",,,Unknown,Person Unknown,
ottavianifrancesco,"Ottaviani, Francesco",,,Unknown,Person Unknown,
ottovonkerpen1209,"Otto, von Kerpen, -1209",,,Unknown,Person Unknown,
oultremanhenrid15461605,"Oultreman, Henri d', 1546-1605",,,Unknown,Person Unknown,
oxiliagiuseppeugo1879,"Oxilia, Giuseppe Ugo, 1879-",,,Unknown,Person Unknown,
paffraetrichard,"Paffraet, Richard",,,Unknown,Person Unknown,
palacioseusebiode,"Palacios, Eusebio de",,,Unknown,Person Unknown,
palgravefrancissir17881861,"Palgrave, Francis, Sir, 1788-1861",,,Unknown,Person Unknown,
pallettipaolo,"Palletti, Paolo",,,Unknown,Person Unknown,
palmerrobertm,"Palmer, Robert M.",,,Unknown,Person Unknown,
palmerstrangej18421871,"Palmer, Strange J., 1842-1871",,,Unknown,Person Unknown,
palmerwilliam,"Palmer, William",,,Unknown,Person Unknown,
panizzavalente,"Panizza, Valente",,,Unknown,Person Unknown,
panzanoc,"Panzano, C.",,,Unknown,Person Unknown,
paolovenetoapproximately13701428,"Paolo, Veneto, approximately 1370-1428",,,Unknown,Person Unknown,
parchettiluigi,"Parchetti, Luigi",,,Unknown,Person Unknown,
parkerjo,"Parker, Jo",,,Unknown,Person Unknown,
parrocchiadicambiano,Parrocchia di Cambiano,,,Unknown,Person Unknown,
partesottiantoniovincenzo,"Partesotti, Antonio Vincenzo",,,Unknown,Person Unknown,
paréambroise15101590,"Paré, Ambroise, 1510?-1590",,,Unknown,Person Unknown,
passerialdobrandinicinzio15511610,"Passeri Aldobrandini, Cinzio, 1551-1610",,,Unknown,Person Unknown,
patrizifrancesco15291597,"Patrizi, Francesco, 1529-1597",,,Unknown,Person Unknown,
pauliiipope14681549,"Paul III, Pope, 1468-1549",,,Unknown,Person Unknown,
paulvpope15521621,"Paul V, Pope, 1552-1621",,,Unknown,Person Unknown,
paulmichael,"Paul, Michael",,,Unknown,Person Unknown,
paulthehermitsaintapproximately341,"Paul, the Hermit, Saint, -approximately 341",,,Unknown,Person Unknown,
paulimichael,"Pauli, Michael",,,Unknown,Person Unknown,
pauliwilliame,"Pauli, William E.",,,Unknown,Person Unknown,
paulina,Paulina,,,Unknown,Person Unknown,
paulsenfriedrich18461908,"Paulsen, Friedrich, 1846-1908",,,Unknown,Person Unknown,
paulusnicolaus,Paulus Nicolaus(?),,,Unknown,Person Unknown,
pausanias,Pausanias,,,Unknown,Person Unknown,
paynebenjamincharnockcaptain1793,"Payne, Benjamin Charnock, Captain, ?-1793",,,Unknown,Person Unknown,
payneroger17391797,"Payne, Roger, 1739-1797",,,Unknown,Person Unknown,
pearsejb,"Pearse, J. B.",,,Unknown,Person Unknown,
peiferdavid15301602,"Peifer, David, 1530-1602",,,Unknown,Person Unknown,
peilefrederickbabington,"Peile, Frederick Babington",,,Unknown,Person Unknown,
peirsonr,"Peirson, R.",,,Unknown,Person Unknown,
peisserjosephus,"Peisser, Josephus",,,Unknown,Person Unknown,
pellegriniantonfrancesco,"Pellegrini, Anton Francesco",,,Unknown,Person Unknown,
pembertonisrael18131885,"Pemberton, Israel, 1813-1885",,,Unknown,Person Unknown,
pembrokereginaldherbertearlof18801960,"Pembroke, Reginald Herbert, Earl of, 1880-1960",,,Unknown,Person Unknown,
penmanjs,"Penman, J.S.",,,Unknown,Person Unknown,
pennwilliam16441718,"Penn, William, 1644-1718",,,Unknown,Person Unknown,
pennypackersamuelwsamuelwhitaker18431916,"Pennypacker, Samuel W. (Samuel Whitaker), 1843-1916",,,Unknown,Person Unknown,
penroseboies19021976,"Penrose, Boies, 1902-1976",,,Unknown,Person Unknown,
pensischristophorusdefl14871503,"Pensis, Christophorus de, fl. 1487-1503",,,Unknown,Person Unknown,
peratinipietro,"Peratini, Pietro",,,Unknown,Person Unknown,
percythomas15601605,"Percy, Thomas, 1560-1605",,,Unknown,Person Unknown,
pergolapaolodellad1455,"Pergola, Paolo della, d. 1455",,,Unknown,Person Unknown,
perkinsoliverhenryd1912,"Perkins, Oliver Henry,  d. 1912",,,Unknown,Person Unknown,
pernapietro1519ca1582,"Perna, Pietro, 1519-ca. 1582",,,Unknown,Person Unknown,
peterlombardbishopofparisapproximately11001160,"Peter Lombard, Bishop of Paris, approximately 1100-1160",,,Unknown,Person Unknown,
petervonfriedbergfl14931500,"Peter, von Friedberg, fl. 1493-1500",,,Unknown,Person Unknown,
petervonneumagen14501515,"Peter, von Neumagen, 1450-1515",,,Unknown,Person Unknown,
petitjeanfl14921530,"Petit, Jean, fl. 1492-1530",,,Unknown,Person Unknown,
petrarcafrancesco13041374,"Petrarca, Francesco, 1304-1374",,,Unknown,Person Unknown,
petrarcameisterfl15161522,"Petrarcameister, fl. 1516-1522",,,Unknown,Person Unknown,
petrejusjohannes14971550,"Petrejus, Johannes, 1497-1550",,,Unknown,Person Unknown,
petrellimarco,"Petrelli, Marco",,,Unknown,Person Unknown,
petriadam14541527,"Petri, Adam, 1454-1527",,,Unknown,Person Unknown,
petrih,"Petri, H.",,,Unknown,Person Unknown,
petrijohannes14411511,"Petri, Johannes, 1441-1511",,,Unknown,Person Unknown,
petrocchinidamontelparogregorio15351612,"Petrocchini, da Montelparo, Gregorio, 1535-1612",,,Unknown,Person Unknown,
philipikingofcastile14781506,"Philip I, King of Castile, 1478-1506",,,Unknown,Person Unknown,
philipiikingofmacedonia382336bc,"Philip II, King of Macedonia, 382-336 B.C.",,,Unknown,Person Unknown,
philipiiikingofspain15781621,"Philip, III, King of Spain, 1578-1621",,,Unknown,Person Unknown,
philippilandgrafvonhessen15041567,"Philipp I, Landgraf von Hessen, 1504-1567",,,Unknown,Person Unknown,
phillipsjames171800,"Phillips, James 17..-1800?",,,Unknown,Person Unknown,
piasipierodeactive15thcentury,"Piasi, Piero de, active 15th century",,,Unknown,Person Unknown,
piazzazapablo,"Piazzaza, Pablo",,,Unknown,Person Unknown,
piccolominifrancescomariad1599,"Piccolomini, Francesco Maria, d. 1599",,,Unknown,Person Unknown,
piccolominifrancescomariad1599,"Piccolomini, Francesco Maria, d. 1599‏",,,Unknown,Person Unknown,
picconefranciscus,"Piccone, Franciscus",,,Unknown,Person Unknown,
pickeringbasilmontagu18361878,"Pickering, Basil Montagu, 1836-1878",,,Unknown,Person Unknown,
picodellamirandolagiovannifrancesco14691533,"Pico della Mirandola, Giovanni Francesco, 1469-1533",,,Unknown,Person Unknown,
picodellamirandolagiovanni14631494,"Pico della Mirandola, Giovanni, 1463-1494",,,Unknown,Person Unknown,
pieragostinidionisio16761745,"Pieragostini, Dionisio, 1676-1745",,,Unknown,Person Unknown,
pieriuschristian,"Pierius, Christian",,,Unknown,Person Unknown,
pierottialessandro,"Pierotti, Alessandro",,,Unknown,Person Unknown,
pinardjacob,"Pinard, Jacob",,,Unknown,Person Unknown,
pinardlouisefl19241934,"Pinard, Louise, fl. 1924-1934",,,Unknown,Person Unknown,
pinciocamillo,"Pincio, Camillo",,,Unknown,Person Unknown,
pinellidomenicocard15411611,"Pinelli, Domenico, card., 1541-1611",,,Unknown,Person Unknown,
NEW:NO_MATCH:pinelligiovannibattistad1630,"Pinelli, Giovanni Battista,‏  d. 1630‏",,,Unknown,Person Unknown,
pinillavalentinde,"Pinilla, Valentin de",,,Unknown,Person Unknown,
pinzifilippoactive14901530,"Pinzi, Filippo, active 1490-1530",,,Unknown,Person Unknown,
pinzifilippofl14901530,"Pinzi, Filippo, fl. 1490-1530",,,Unknown,Person Unknown,
pioladomenico16271703,"Piola, Domenico, 1627-1703",,,Unknown,Person Unknown,
piriejohnsir,"Pirie, John, Sir",,,Unknown,Person Unknown,
piusivpope14991565,"Pius IV, Pope, 1499-1565",,,Unknown,Person Unknown,
NEW:NO_MATCH:piusvpope15041572,"Pius‏ V,‏  Pope,‏ ‎1504-1572‏",,,Unknown,Person Unknown,
plantinchristopheapproximately15201589,"Plantin, Christophe, approximately 1520-1589",,,Unknown,Person Unknown,
platina14211481,"Platina, 1421-1481",,,Unknown,Person Unknown,
plauenheinrichvonca13701429,"Plauen, Heinrich von, ca. 1370-1429",,,Unknown,Person Unknown,
plautustitusmaccius,"Plautus, Titus Maccius",,,Unknown,Person Unknown,
polereginald15001558,"Pole, Reginald, 1500-1558",,,Unknown,Person Unknown,
polizianoangelo14541494,"Poliziano, Angelo, 1454-1494",,,Unknown,Person Unknown,
pollinialessandro,"Pollini, Alessandro",,,Unknown,Person Unknown,
pollondemichael,"Pollonde(?), Michael",,,Unknown,Person Unknown,
pompeiapaulina,Pompeia Paulina,,,Unknown,Person Unknown,
pomponiusmela,Pomponius Mela,,,Unknown,Person Unknown,
pontisuardiantonia18601938,"Ponti Suardi, Antonia, 1860-1938",,,Unknown,Person Unknown,
poppemelchior,"Poppe, Melchior",,,Unknown,Person Unknown,
poppovonosterna,Poppo von Osterna,,,Unknown,Person Unknown,
porciacatonis,Porcia Catonis,,,Unknown,Person Unknown,
porsenalars6thcentbc,"Porsena, Lars, 6th cent. B.C.",,,Unknown,Person Unknown,
portlandwilliamjohnarthurcharlesjamescavendishbentinckdukeof18571943,"Portland, William John Arthur Charles James Cavendish-Bentinck, Duke of, 1857-1943",,,Unknown,Person Unknown,
porzeljohannjakob,"Porzel, Johann Jakob",,,Unknown,Person Unknown,
pottaugustfriedrich18021887,"Pott, August Friedrich, 1802-1887",,,Unknown,Person Unknown,
potterrichardmontgomerygilchrist18981941,"Potter, Richard Montgomery Gilchrist, 1898-1941",,,Unknown,Person Unknown,
pouilletlouisd1910,"Pouillet, Louis, d. 1910",,,Unknown,Person Unknown,
poullinjeanjacques,"Poullin, Jean-Jacques",,,Unknown,Person Unknown,
poulsonzachariah17611844,"Poulson, Zachariah, 1761-1844",,,Unknown,Person Unknown,
powerdarcysir18551941,"Power, D'Arcy, Sir, 1855-1941",,,Unknown,Person Unknown,
pozzoparidedelapproximately14131493,"Pozzo, Paride del, approximately 1413-1493",,,Unknown,Person Unknown,
pozzoliniferdinando19thcent,"Pozzolini, Ferdinando, 19th cent.",,,Unknown,Person Unknown,
praetoriusbernhard15671616,"Praetorius, Bernhard, 1567-1616",,,Unknown,Person Unknown,
presnotcharlesactive15551585,"Presnot, Charles, active 1555-1585",,,Unknown,Person Unknown,
NEW:NO_MATCH:prévinquièrescarbon,"Prévinquières, Carbon",,,Unknown,Person Unknown,
priscianflca500530,"Priscian, fl. ca. 500-530",,,Unknown,Person Unknown,
propertiussextus,"Propertius, Sextus",,,Unknown,Person Unknown,
proudrobert17281813,"Proud, Robert, 1728-1813",,,Unknown,Person Unknown,
prüssjohann1446or14471510,"Prüss, Johann, 1446 or 1447-1510",,,Unknown,Person Unknown,
prüssjohann14471510,"Prüss, Johann, 1447-1510",,,Unknown,Person Unknown,
ptolemy2ndcent,"Ptolemy, 2nd cent.",,,Unknown,Person Unknown,
pulciluigi14321484,"Pulci, Luigi, 1432-1484",,,Unknown,Person Unknown,
putellettoantonio,"Putelletto, Antonio",,,Unknown,Person Unknown,
quandtiolab,"Quandt, Iola B.",,,Unknown,Person Unknown,
quentelpeterd1546,"Quentel, Peter, d. 1546",,,Unknown,Person Unknown,
quevenjacobusde,"Queven, Jacobus de",,,Unknown,Person Unknown,
racefe,"Race, F. E.",,,Unknown,Person Unknown,
rambauhansdca1637,"Rambau, Hans, d. ca. 1637",,,Unknown,Person Unknown,
ramingergebhard,"Raminger, Gebhard",,,Unknown,Person Unknown,
rammingermelchiord1543,"Ramminger, Melchior, d. 1543?",,,Unknown,Person Unknown,
rampazettogiovanniantonio,"Rampazetto, Giovanni Antonio",,,Unknown,Person Unknown,
rancéarmandjeanlebouthillierde16261700,"Rancé, Armand Jean Le Bouthillier de, 1626-1700",,,Unknown,Person Unknown,
ranuccioifarnesedukeofparma15691622,"Ranuccio I Farnese, Duke of Parma, 1569-1622",,,Unknown,Person Unknown,
rapoldusdaniel,"Rapoldus, Daniel",,,Unknown,Person Unknown,
rappaportcarlewald,"Rappaport, Carl Ewald",,,Unknown,Person Unknown,
NEW:NO_MATCH:rassedesnœuxfrançoisfl15621575,"Rasse des Nœux, François, fl. 1562-1575",,,Unknown,Person Unknown,
ravdinisidoresisidoreschwaner1894,"Ravdin, Isidore S. (Isidore Schwaner), 1894-",,,Unknown,Person Unknown,
ravennagiacomofilippo,"Ravenna, Giacomo Filippo",,,Unknown,Person Unknown,
raynouard,Raynouard,,,Unknown,Person Unknown,
razzoliniluigi,"Razzolini, Luigi",,,Unknown,Person Unknown,
NEW:NO_MATCH:rāzīabūbakrmuḥammadibnzakarīyā865925,"Rāzī, Abū Bakr Muḥammad ibn Zakarīyā, 865?-925?",,,Unknown,Person Unknown,
rebartthomasd1570,"Rebart, Thomas, d. 1570",,,Unknown,Person Unknown,
regalmatteo,"Regal, Matteo",,,Unknown,Person Unknown,
regianosquadroni,"Regiano, Squadroni",,,Unknown,Person Unknown,
rehlingerkonrad1553,"Rehlinger, Konrad, -1553",,,Unknown,Person Unknown,
reimannusgeorgius,"Reimannus, Georgius",,,Unknown,Person Unknown,
reinhardjohannpaul,"Reinhard, Johann Paul",,,Unknown,Person Unknown,
reitwinklertheobald,"Reitwinkler, Theobald",,,Unknown,Person Unknown,
remmelinjohann15831632,"Remmelin, Johann, 1583-1632",,,Unknown,Person Unknown,
renardf,"Renard, F.",,,Unknown,Person Unknown,
rennerfranzfl14711483,"Renner, Franz, fl. 1471-1483",,,Unknown,Person Unknown,
reschjoseph17161782,"Resch, Joseph, 1716-1782",,,Unknown,Person Unknown,
reschwolfgang,"Resch, Wolfgang",,,Unknown,Person Unknown,
retburgarnold,"Retburg, Arnold",,,Unknown,Person Unknown,
reuchlinjohann14551522,"Reuchlin, Johann, 1455-1522",,,Unknown,Person Unknown,
reutlingerjakob15451611,"Reutlinger, Jakob, 1545-1611",,,Unknown,Person Unknown,
rhaugrunenbergjohannfl15081525,"Rhau-Grunenberg, Johann, fl. 1508-1525",,,Unknown,Person Unknown,
rhawgeorg14881548,"Rhaw, Georg, 1488-1548",,,Unknown,Person Unknown,
rheasilvia,Rhea Silvia,,,Unknown,Person Unknown,
richmanandlazarusparable,Rich man and Lazarus (Parable),,,Unknown,Person Unknown,
richedwardpercy,"Rich, Edward Percy",,,Unknown,Person Unknown,
richardsalfrednalfrednewton18761966,"Richards, Alfred N. (Alfred Newton), 1876-1966",,,Unknown,Person Unknown,
richeymichael16781761,"Richey, Michael, 1678-1761",,,Unknown,Person Unknown,
richterbodo,"Richter, Bodo",,,Unknown,Person Unknown,
richtzenhandonatfl15591600,"Richtzenhan, Donat, fl. 1559-1600",,,Unknown,Person Unknown,
ricketsonanna18361927,"Ricketson, Anna, 1836-1927",,,Unknown,Person Unknown,
ricketsondaniel18131898,"Ricketson, Daniel, 1813-1898",,,Unknown,Person Unknown,
ricketsonwalton1839,"Ricketson, Walton, 1839-",,,Unknown,Person Unknown,
rigasfrançoisantoine,"Rigas, François-Antoine",,,Unknown,Person Unknown,
riheljosiasdca1597,"Rihel, Josias, d. ca. 1597",,,Unknown,Person Unknown,
riheltheodosiusfl15601619,"Rihel, Theodosius, fl. 1560?-1619",,,Unknown,Person Unknown,
rihelwendelin,"Rihel, Wendelin",,,Unknown,Person Unknown,
rimbaultedwardfedwardfrancis18161876,"Rimbault, Edward F. (Edward Francis), 1816-1876",,,Unknown,Person Unknown,
rittershausengeorg15951664,"Rittershausen, Georg, 1595-1664",,,Unknown,Person Unknown,
rittershausenkonrad15601613,"Rittershausen, Konrad, 1560-1613",,,Unknown,Person Unknown,
rittershusiusgeorgius,"Rittershusius, Georgius",,,Unknown,Person Unknown,
rivagiuseppe17911872,"Riva, Giuseppe, 1791-1872",,,Unknown,Person Unknown,
NEW:NO_MATCH:rivièrerobert18081882,"Rivière, Robert, 1808-1882",,,Unknown,Person Unknown,
rizzobernardinofl14811492,"Rizzo, Bernardino, fl. 1481-1492",,,Unknown,Person Unknown,
robertjeanactive15691590,"Robert, Jean, active 1569-1590",,,Unknown,Person Unknown,
robertsarthurwilliamrymerb1879,"Roberts, Arthur William Rymer, b. 1879",,,Unknown,Person Unknown,
robillarddavrignyhyacinthe16751719,"Robillard d'Avrigny, Hyacinthe, 1675-1719",,,Unknown,Person Unknown,
robinsonofrokeby,Robinson of Rokeby,,,Unknown,Person Unknown,
rocedenysactive14901517,"Roce, Denys, active 1490-1517",,,Unknown,Person Unknown,
rococciolodomenicoactive14811504,"Rococciolo, Domenico, active 1481-1504",,,Unknown,Person Unknown,
rodesjohn,"Rodes, John",,,Unknown,Person Unknown,
roehmjohannes,"Roehm, Johannes",,,Unknown,Person Unknown,
rokebyrichardrobinsonbaron17091794,"Rokeby, Richard Robinson, Baron, 1709-1794",,,Unknown,Person Unknown,
rolandinusdepassageriisd1300,"Rolandinus, de Passageriis, d. 1300",,,Unknown,Person Unknown,
romberchjohannhorstvonfl15051532,"Romberch, Johann Horst von, fl. 1505-1532",,,Unknown,Person Unknown,
romuluskingofrome,"Romulus, King of Rome",,,Unknown,Person Unknown,
ronconiercole16001699,"Ronconi, Ercole, 1600 -1699",,,Unknown,Person Unknown,
ronconiercole16001699,"Ronconi, Ercole, 1600-1699",,,Unknown,Person Unknown,
rondeaujean,"Rondeau, Jean",,,Unknown,Person Unknown,
rosenbachaswabrahamsimonwolf18761952,"Rosenbach, A. S. W. (Abraham Simon Wolf), 1876-1952",,,Unknown,Person Unknown,
rossicarlo16391711,"Rossi, Carlo, 1639-1711",,,Unknown,Person Unknown,
rossigiovanni17761852,"Rossi, Giovanni, 1776-1852",,,Unknown,Person Unknown,
rossogiovanniactive14801519,"Rosso, Giovanni, active 1480-1519",,,Unknown,Person Unknown,
rothw,"Roth, W.",,,Unknown,Person Unknown,
rothoffpaul,"Rothoff, Paul",,,Unknown,Person Unknown,
rottweiladamvon15thcent,"Rottweil, Adam von, 15th cent.",,,Unknown,Person Unknown,
rowelouisthompson,"Rowe, Louis Thompson",,,Unknown,Person Unknown,
roxburghejohnkerdukeof17401804,"Roxburghe, John Ker, Duke of, 1740-1804",,,Unknown,Person Unknown,
rubeusbernardin,"Rubeus, Bernardin",,,Unknown,Person Unknown,
rubeusbernardinus,"Rubeus, Bernardinus",,,Unknown,Person Unknown,
rubeuscarolus,"Rubeus, Carolus",,,Unknown,Person Unknown,
ruffsimprechtfl15221526,"Ruff, Simprecht, fl. 1522-1526",,,Unknown,Person Unknown,
ruggierofrancescopaolo17981881,"Ruggiero, Francesco Paolo, 1798-1881",,,Unknown,Person Unknown,
rummelljohannes,"Rummell, Johannes",,,Unknown,Person Unknown,
rungegeorg1639,"Runge, Georg, -1639",,,Unknown,Person Unknown,
rupeljames,"Rupel, James",,,Unknown,Person Unknown,
ruppelberthold1494or1495,"Ruppel, Berthold, -1494 or 1495",,,Unknown,Person Unknown,
russdorfpaulvon13851441,"Russdorf, Paul von, 1385-1441",,,Unknown,Person Unknown,
russelljohnfuller18141884,"Russell, John Fuller, 1814-1884",,,Unknown,Person Unknown,
russoagostino,"Russo, Agostino",,,Unknown,Person Unknown,
ryterchristopherjacob15431611,"Ryter, Christopher Jacob, 1543-1611",,,Unknown,Person Unknown,
rödingerchristiand1557,"Rödinger, Christian, d. 1557",,,Unknown,Person Unknown,
rümelinjohanbernhardca1490ca1567,"Rümelin, Johan Bernhard, ca. 1490-ca. 1567",,,Unknown,Person Unknown,
rümelinjohannbernhardca1490ca1567,"Rümelin, Johann Bernhard, ca. 1490-ca.1567",,,Unknown,Person Unknown,
sstanislai,S Stanislai,,,Unknown,Person Unknown,
saalmüllerjohanntobias,"Saalmüller, Johann Tobias",,,Unknown,Person Unknown,
sachsemelchiord1551,"Sachse, Melchior, d. 1551",,,Unknown,Person Unknown,
sachsemelchiord1586,"Sachse, Melchior, d. 1586",,,Unknown,Person Unknown,
sadelerraphäel15841632,"Sadeler, Raphäel, 1584-1632",,,Unknown,Person Unknown,
saintandrépierrede15551624,"Saint-André, Pierre de, 1555-1624",,,Unknown,Person Unknown,
salecesaredal16461695,"Sale, Cesare dal, 1646-1695",,,Unknown,Person Unknown,
salekhinmargeretha,"Salekhin, Margeretha",,,Unknown,Person Unknown,
salicatoaltobello16thcent,"Salicato, Altobello, 16th cent.",,,Unknown,Person Unknown,
salicetusnicolausdca1493,"Salicetus, Nicolaus, d. ca. 1493",,,Unknown,Person Unknown,
sallochwilliam,"Salloch, William",,,Unknown,Person Unknown,
salviatiantoniomaria15371602,"Salviati, Antonio Maria, 1537-1602",,,Unknown,Person Unknown,
salviniantonmaria16531729,"Salvini, Anton Maria, 1653-1729",,,Unknown,Person Unknown,
salviniantoniomaria16531729,"Salvini, Antonio Maria, 1653-1729",,,Unknown,Person Unknown,
salzahermannvond1239,"Salza, Hermann von, d. 1239",,,Unknown,Person Unknown,
sanchojoannis,"Sancho, Joannis",,,Unknown,Person Unknown,
sanchojuan,"Sancho, Juan",,,Unknown,Person Unknown,
sanctoursiohenricusdefl14801508,"Sancto Ursio, Henricus de, fl. 1480-1508",,,Unknown,Person Unknown,
sandersdrewd1579,"Sanders, Drew, d 1579",,,Unknown,Person Unknown,
sandersonthomas,"Sanderson, Thomas(?)",,,Unknown,Person Unknown,
sansoniantiquariato,Sansoni Antiquariato,,,Unknown,Person Unknown,
sansovinofrancesco15211586,"Sansovino, Francesco, 1521-1586",,,Unknown,Person Unknown,
santeuljeande16301697,"Santeul, Jean de, 1630-1697",,,Unknown,Person Unknown,
santflanthony,"Santfl, Anthony",,,Unknown,Person Unknown,
sartongeorge18841956,"Sarton, George, 1884-1956",,,Unknown,Person Unknown,
sartoriusdavid15291596,"Sartorius, David, 1529-1596",,,Unknown,Person Unknown,
sassenusservaes,"Sassenus, Servaes",,,Unknown,Person Unknown,
sassigiuseppeantónio16751751,"Sassi, Giuseppe António, 1675-1751",,,Unknown,Person Unknown,
satlpogerpeter,"Satlpoger, Peter",,,Unknown,Person Unknown,
saulleonjleonjoseph19011983,"Saul, Leon J. (Leon Joseph), 1901-1983",,,Unknown,Person Unknown,
saulerhieronymus,"Sauler, Hieronymus",,,Unknown,Person Unknown,
saulusfranciscus,"Saulus, Franciscus",,,Unknown,Person Unknown,
saulysjurgis18791948,"Saulys, Jurgis (1879-1948)",,,Unknown,Person Unknown,
saxerphilipp,"Saxer, Philipp",,,Unknown,Person Unknown,
saxonygermany,Saxony (Germany),,,Unknown,Person Unknown,
sbarrapultio15601626,"Sbarra, Pultio, 1560-1626",,,Unknown,Person Unknown,
sbarrapulzio15601626,"Sbarra, Pulzio, 1560-1626",,,Unknown,Person Unknown,
scaevolagaiusmucius,"Scaevola, Gaius Mucius",,,Unknown,Person Unknown,
scatcherdnorrisson17801853,"Scatcherd, Norrisson , 1780-1853",,,Unknown,Person Unknown,
scatcherdnorrissoncavendish17801853,"Scatcherd, Norrisson Cavendish, 1780-1853",,,Unknown,Person Unknown,
scatcherdnorrisson17801853,"Scatcherd, Norrisson, 1780-1853",,,Unknown,Person Unknown,
schallenbergerjacob,"Schallenberger, Jacob",,,Unknown,Person Unknown,
schallenbergerinmarina,"Schallenbergerin, Marina",,,Unknown,Person Unknown,
schedelhartmann14401514,"Schedel, Hartmann, 1440-1514",,,Unknown,Person Unknown,
scheiblichabraham,"Scheiblich, Abraham",,,Unknown,Person Unknown,
schellingfelixemmanuel18581945,"Schelling, Felix Emmanuel, 1858-1945",,,Unknown,Person Unknown,
schleichclemensd1588,"Schleich, Clemens, d. 1588",,,Unknown,Person Unknown,
schlusselfelderuschristophorus,"Schlusselfelderus, Christophorus",,,Unknown,Person Unknown,
schmidhuserjacob,"Schmidhuser, Jacob",,,Unknown,Person Unknown,
schmidtjacobfl15141537,"Schmidt, Jacob, fl. 1514-1537?",,,Unknown,Person Unknown,
schmidtnickeld1555,"Schmidt, Nickel, d. 1555",,,Unknown,Person Unknown,
schmiedhöferjohann,"Schmiedhöfer, Johann",,,Unknown,Person Unknown,
schneebergjohannwellingerfreiherrvon,"Schneeberg, Johann Wellinger, Freiherr von",,,Unknown,Person Unknown,
schoellerida,"Schoeller, Ida",,,Unknown,Person Unknown,
schollenjoannes,"Schollen, Joannes",,,Unknown,Person Unknown,
schollenjohannes,"Schollen, Johannes",,,Unknown,Person Unknown,
scholtzrobert,"Scholtz, Robert",,,Unknown,Person Unknown,
schoppekaspar15761649,"Schoppe, Kaspar, 1576-1649",,,Unknown,Person Unknown,
